time_s,q_in_norm,c_in_norm,load_disturbance_mgL,do_cascade,do_feedforward_cascade,air_sp_cascade,air_sp_feedforward_cascade,air_flow_cascade,air_flow_feedforward_cascade,blower_u_cascade,blower_u_feedforward_cascade,feedforward_air_base
0,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24.5,1,1,-0,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
