time_s,q_in,cod_true,cod_slow_measure,true_oxygen_load,rf_predicted_load,do_cascade,do_conventional_ff,do_rf_ff,air_sp_cascade,air_sp_conventional_ff,air_sp_rf_ff,blower_u_cascade,blower_u_conventional_ff,blower_u_rf_ff
0.0,1.000000,1.000000,1.000000,0.006854,0.005846,1.999981,1.999981,1.999981,0.500000,0.500000,0.501520,0.500000,0.500000,0.506535
0.5,1.000000,1.000000,1.000000,0.006890,0.004879,1.999962,1.999962,1.999962,0.500772,0.500310,0.501579,0.503318,0.501331,0.506309
1.0,1.000000,1.000000,1.000000,0.006926,0.003953,1.999943,1.999943,1.999943,0.500783,0.500315,0.501345,0.503124,0.501258,0.504836
1.5,1.000000,1.000000,1.000000,0.006961,0.003065,1.999924,1.999924,1.999924,0.500795,0.500321,0.501120,0.502945,0.501190,0.503516
2.0,1.000000,1.000000,1.000000,0.006997,0.002214,1.999904,1.999904,1.999904,0.500807,0.500327,0.500906,0.502780,0.501127,0.502336
2.5,1.000000,1.000000,1.000000,0.007033,0.001399,1.999885,1.999885,1.999885,0.500819,0.500333,0.500700,0.502628,0.501070,0.501285
3.0,1.000000,1.000000,1.000000,0.007068,0.000617,1.999866,1.999866,1.999866,0.500831,0.500338,0.500504,0.502489,0.501017,0.500353
3.5,1.000000,1.000000,1.000000,0.007104,-0.000132,1.999846,1.999846,1.999846,0.500843,0.500344,0.500316,0.502361,0.500969,0.499529
4.0,1.000000,1.000000,1.000000,0.007140,-0.000849,1.999827,1.999827,1.999827,0.500855,0.500350,0.500136,0.502245,0.500925,0.498803
4.5,1.000000,1.000000,1.000000,0.007176,-0.001537,1.999808,1.999808,1.999808,0.500868,0.500356,0.499964,0.502141,0.500886,0.498168
5.0,1.000000,1.000000,1.000000,0.007211,-0.002196,1.999788,1.999788,1.999788,0.500880,0.500362,0.499799,0.502046,0.500850,0.497614
5.5,1.000000,1.000000,1.000000,0.007247,-0.002828,1.999768,1.999768,1.999768,0.500892,0.500368,0.499642,0.501961,0.500818,0.497133
6.0,1.000000,1.000000,1.000000,0.007283,-0.003433,1.999749,1.999749,1.999749,0.500905,0.500374,0.499491,0.501885,0.500790,0.496719
6.5,1.000000,1.000000,1.000000,0.007318,-0.004013,1.999729,1.999729,1.999729,0.500917,0.500380,0.499347,0.501817,0.500765,0.496365
7.0,1.000000,1.000000,1.000000,0.007354,-0.004569,1.999710,1.999710,1.999710,0.500929,0.500386,0.499209,0.501758,0.500743,0.496065
7.5,1.000000,1.000000,1.000000,0.007390,-0.005102,1.999690,1.999690,1.999690,0.500942,0.500392,0.499078,0.501705,0.500723,0.495812
8.0,1.000000,1.000000,1.000000,0.007426,-0.005612,1.999670,1.999670,1.999670,0.500955,0.500398,0.498952,0.501660,0.500707,0.495602
8.5,1.000000,1.000000,1.000000,0.007461,-0.006101,1.999650,1.999650,1.999650,0.500967,0.500404,0.498832,0.501620,0.500693,0.495430
9.0,1.000000,1.000000,1.000000,0.007497,-0.006570,1.999630,1.999630,1.999630,0.500980,0.500410,0.498717,0.501587,0.500681,0.495291
9.5,1.000000,1.000000,1.000000,0.007533,-0.007020,1.999611,1.999611,1.999611,0.500993,0.500416,0.498607,0.501558,0.500671,0.495182
10.0,1.000000,1.000000,1.000000,0.007569,-0.007450,1.999591,1.999591,1.999591,0.501005,0.500423,0.498502,0.501535,0.500663,0.495099
10.5,1.000000,1.000000,1.000000,0.007604,-0.007863,1.999571,1.999571,1.999571,0.501018,0.500429,0.498402,0.501515,0.500656,0.495038
11.0,1.000000,1.000000,1.000000,0.007640,-0.008258,1.999551,1.999551,1.999551,0.501031,0.500435,0.498306,0.501500,0.500652,0.494997
11.5,1.000000,1.000000,1.000000,0.007676,-0.008637,1.999531,1.999531,1.999531,0.501044,0.500441,0.498214,0.501489,0.500648,0.494973
12.0,1.000000,1.000000,1.000000,0.007711,-0.009001,1.999510,1.999510,1.999510,0.501057,0.500448,0.498127,0.501480,0.500646,0.494964
12.5,1.000000,1.000000,1.000000,0.007747,-0.009349,1.999490,1.999490,1.999490,0.501070,0.500454,0.498044,0.501475,0.500645,0.494967
13.0,1.000000,1.000000,1.000000,0.007783,-0.009682,1.999470,1.999470,1.999470,0.501083,0.500460,0.497964,0.501473,0.500646,0.494980
13.5,1.000000,1.000000,1.000000,0.007819,-0.010002,1.999450,1.999450,1.999450,0.501096,0.500467,0.497888,0.501472,0.500647,0.495003
14.0,1.000000,1.000000,1.000000,0.007855,-0.010308,1.999430,1.999430,1.999430,0.501109,0.500473,0.497816,0.501474,0.500649,0.495032
14.5,1.000000,1.000000,1.000000,0.007890,-0.010602,1.999409,1.999409,1.999409,0.501123,0.500479,0.497747,0.501478,0.500652,0.495068
15.0,1.000000,1.000000,1.000000,0.007926,-0.010883,1.999389,1.999389,1.999389,0.501136,0.500486,0.497681,0.501484,0.500655,0.495108
15.5,1.000000,1.000000,1.000000,0.007962,-0.011153,1.999368,1.999368,1.999368,0.501149,0.500492,0.497618,0.501492,0.500659,0.495152
16.0,1.000000,1.000000,1.000000,0.007998,-0.011411,1.999348,1.999348,1.999348,0.501163,0.500499,0.497559,0.501500,0.500664,0.495199
16.5,1.000000,1.000000,1.000000,0.008033,-0.011659,1.999327,1.999327,1.999327,0.501176,0.500505,0.497502,0.501510,0.500669,0.495248
17.0,1.000000,1.000000,1.000000,0.008069,-0.011896,1.999307,1.999307,1.999307,0.501190,0.500512,0.497447,0.501521,0.500674,0.495298
17.5,1.000000,1.000000,1.000000,0.008105,-0.012066,1.999286,1.999286,1.999286,0.501203,0.500518,0.497411,0.501533,0.500680,0.495413
18.0,1.000000,1.000000,1.000000,0.008141,-0.012229,1.999266,1.999266,1.999266,0.501217,0.500525,0.497376,0.501546,0.500687,0.495521
18.5,1.000000,1.000000,1.000000,0.008177,-0.012386,1.999245,1.999245,1.999245,0.501230,0.500531,0.497343,0.501559,0.500693,0.495622
19.0,1.000000,1.000000,1.000000,0.008212,-0.012535,1.999224,1.999224,1.999224,0.501244,0.500538,0.497311,0.501573,0.500700,0.495717
19.5,1.000000,1.000000,1.000000,0.008248,-0.012679,1.999204,1.999204,1.999204,0.501258,0.500545,0.497281,0.501588,0.500707,0.495805
20.0,1.000000,1.000000,1.000000,0.008284,-0.012817,1.999183,1.999183,1.999183,0.501272,0.500551,0.497253,0.501603,0.500714,0.495887
20.5,1.000000,1.000000,1.000000,0.008320,-0.012948,1.999162,1.999162,1.999162,0.501286,0.500558,0.497227,0.501618,0.500722,0.495963
21.0,1.000000,1.000000,1.000000,0.008355,-0.013075,1.999141,1.999141,1.999141,0.501300,0.500565,0.497201,0.501634,0.500729,0.496035
21.5,1.000000,1.000000,1.000000,0.008391,-0.013196,1.999120,1.999120,1.999120,0.501314,0.500571,0.497178,0.501650,0.500737,0.496101
22.0,1.000000,1.000000,1.000000,0.008427,-0.013312,1.999099,1.999099,1.999099,0.501328,0.500578,0.497155,0.501666,0.500744,0.496162
22.5,1.000000,1.000000,1.000000,0.008463,-0.013423,1.999078,1.999078,1.999078,0.501342,0.500585,0.497134,0.501683,0.500752,0.496219
23.0,1.000000,1.000000,1.000000,0.008499,-0.013529,1.999057,1.999057,1.999057,0.501356,0.500592,0.497114,0.501700,0.500760,0.496271
23.5,1.000000,1.000000,1.000000,0.008535,-0.013632,1.999036,1.999036,1.999036,0.501370,0.500599,0.497095,0.501716,0.500768,0.496320
24.0,1.000000,1.000000,1.000000,0.008570,-0.013729,1.999015,1.999015,1.999015,0.501384,0.500605,0.497078,0.501733,0.500776,0.496365
24.5,1.000000,1.000000,1.000000,0.008606,-0.013823,1.998994,1.998994,1.998994,0.501399,0.500612,0.497061,0.501750,0.500784,0.496407
25.0,1.000000,1.000000,1.000000,0.008642,-0.013913,1.998972,1.998972,1.998972,0.501413,0.500619,0.497046,0.501767,0.500792,0.496446
25.5,1.000000,1.000000,1.000000,0.008678,-0.013999,1.998951,1.998951,1.998951,0.501427,0.500626,0.497031,0.501785,0.500800,0.496482
26.0,1.000000,1.000000,1.000000,0.008714,-0.014082,1.998930,1.998930,1.998930,0.501442,0.500633,0.497018,0.501802,0.500808,0.496515
26.5,1.000000,1.000000,1.000000,0.008749,-0.014161,1.998909,1.998909,1.998909,0.501456,0.500640,0.497005,0.501819,0.500817,0.496546
27.0,1.000000,1.000000,1.000000,0.008785,-0.014237,1.998887,1.998887,1.998887,0.501471,0.500647,0.496994,0.501836,0.500825,0.496575
27.5,1.000000,1.000000,1.000000,0.008821,-0.014309,1.998866,1.998866,1.998866,0.501485,0.500654,0.496983,0.501853,0.500833,0.496601
28.0,1.000000,1.000000,1.000000,0.008857,-0.014379,1.998844,1.998844,1.998844,0.501500,0.500661,0.496973,0.501871,0.500841,0.496626
28.5,1.000000,1.000000,1.000000,0.008893,-0.014446,1.998823,1.998823,1.998823,0.501515,0.500668,0.496964,0.501888,0.500849,0.496649
29.0,1.000000,1.000000,1.000000,0.008929,-0.014510,1.998801,1.998801,1.998801,0.501530,0.500675,0.496955,0.501905,0.500857,0.496671
29.5,1.000000,1.000000,1.000000,0.008964,-0.014571,1.998780,1.998780,1.998780,0.501544,0.500683,0.496947,0.501922,0.500866,0.496691
30.0,1.000000,1.000000,1.000000,0.009000,-0.014630,1.998758,1.998758,1.998761,0.501559,0.500690,0.496940,0.501940,0.500874,0.496711
30.5,1.000000,1.000000,1.000000,0.009036,-0.014671,1.998738,1.998737,1.998744,0.501574,0.500697,0.496898,0.501957,0.500882,0.496576
31.0,1.000000,1.000000,1.000000,0.009072,-0.014710,1.998718,1.998716,1.998728,0.501539,0.500696,0.496859,0.501760,0.500856,0.496460
31.5,1.000000,1.000000,1.000000,0.009108,-0.014748,1.998700,1.998696,1.998714,0.501509,0.500696,0.496830,0.501596,0.500835,0.496393
32.0,1.000000,1.000000,1.000000,0.009144,-0.014784,1.998682,1.998676,1.998700,0.501482,0.500696,0.496809,0.501462,0.500818,0.496367
32.5,1.000000,1.000000,1.000000,0.009180,-0.014819,1.998666,1.998656,1.998686,0.501458,0.500697,0.496796,0.501354,0.500805,0.496374
33.0,1.000000,1.000000,1.000000,0.009215,-0.014852,1.998650,1.998637,1.998672,0.501438,0.500699,0.496791,0.501268,0.500796,0.496409
33.5,1.000000,1.000000,1.000000,0.009251,-0.014884,1.998634,1.998617,1.998658,0.501421,0.500701,0.496791,0.501202,0.500790,0.496466
34.0,1.000000,1.000000,1.000000,0.009287,-0.014915,1.998619,1.998598,1.998643,0.501406,0.500703,0.496797,0.501154,0.500787,0.496539
34.5,1.000000,1.000000,1.000000,0.009323,-0.014944,1.998605,1.998579,1.998627,0.501394,0.500706,0.496807,0.501120,0.500786,0.496625
35.0,1.000000,1.000000,1.000000,0.009359,-0.014972,1.998591,1.998561,1.998610,0.501384,0.500709,0.496821,0.501098,0.500787,0.496720
35.5,1.000000,1.000000,1.000000,0.009395,-0.014999,1.998578,1.998542,1.998591,0.501376,0.500712,0.496839,0.501087,0.500790,0.496821
36.0,1.000000,1.000000,1.000000,0.009431,-0.015025,1.998564,1.998524,1.998571,0.501370,0.500716,0.496859,0.501086,0.500794,0.496926
36.5,1.000000,1.000000,1.000000,0.009466,-0.015049,1.998552,1.998505,1.998550,0.501365,0.500719,0.496883,0.501091,0.500800,0.497032
37.0,1.000000,1.000000,1.000000,0.009502,-0.015073,1.998539,1.998487,1.998527,0.501362,0.500724,0.496908,0.501103,0.500806,0.497137
37.5,1.000000,1.000000,1.000000,0.009538,-0.015096,1.998527,1.998469,1.998503,0.501360,0.500728,0.496934,0.501119,0.500813,0.497241
38.0,1.000000,1.000000,1.000000,0.009574,-0.015118,1.998515,1.998451,1.998476,0.501360,0.500732,0.496963,0.501139,0.500821,0.497342
38.5,1.000000,1.000000,1.000000,0.009610,-0.015138,1.998503,1.998433,1.998449,0.501360,0.500737,0.496992,0.501163,0.500829,0.497439
39.0,1.000000,1.000000,1.000000,0.009646,-0.015158,1.998491,1.998415,1.998420,0.501361,0.500742,0.497022,0.501188,0.500838,0.497532
39.5,1.000000,1.000000,1.000000,0.009682,-0.015177,1.998479,1.998397,1.998389,0.501363,0.500747,0.497053,0.501215,0.500847,0.497620
40.0,1.000000,1.000000,1.000000,0.009718,-0.015196,1.998468,1.998379,1.998356,0.501366,0.500752,0.497084,0.501242,0.500856,0.497703
40.5,1.000000,1.000000,1.000000,0.009753,-0.015213,1.998456,1.998361,1.998322,0.501369,0.500757,0.497115,0.501270,0.500865,0.497781
41.0,1.000000,1.000000,1.000000,0.009789,-0.015230,1.998445,1.998344,1.998287,0.501373,0.500762,0.497147,0.501298,0.500874,0.497853
41.5,1.000000,1.000000,1.000000,0.009825,-0.015246,1.998434,1.998326,1.998250,0.501377,0.500768,0.497178,0.501326,0.500883,0.497920
42.0,1.000000,1.000000,1.000000,0.009861,-0.015262,1.998423,1.998308,1.998212,0.501382,0.500773,0.497210,0.501353,0.500893,0.497982
42.5,1.000000,1.000000,1.000000,0.009897,-0.015277,1.998412,1.998290,1.998173,0.501387,0.500779,0.497241,0.501379,0.500902,0.498039
43.0,1.000000,1.000000,1.000000,0.009933,-0.015291,1.998401,1.998273,1.998132,0.501392,0.500784,0.497273,0.501405,0.500910,0.498091
43.5,1.000000,1.000000,1.000000,0.009969,-0.015304,1.998390,1.998255,1.998090,0.501397,0.500790,0.497303,0.501429,0.500919,0.498138
44.0,1.000000,1.000000,1.000000,0.010005,-0.015318,1.998379,1.998237,1.998046,0.501403,0.500795,0.497334,0.501452,0.500928,0.498182
44.5,1.000000,1.000000,1.000000,0.010040,-0.015330,1.998368,1.998220,1.998002,0.501409,0.500801,0.497364,0.501474,0.500936,0.498221
45.0,1.000000,1.000000,1.000000,0.010076,-0.015342,1.998358,1.998202,1.997957,0.501415,0.500807,0.497394,0.501494,0.500944,0.498256
45.5,1.000000,1.000000,1.000000,0.010112,-0.015353,1.998347,1.998184,1.997910,0.501421,0.500812,0.497423,0.501513,0.500953,0.498288
46.0,1.000000,1.000000,1.000000,0.010148,-0.015364,1.998336,1.998167,1.997863,0.501427,0.500818,0.497452,0.501531,0.500960,0.498318
46.5,1.000000,1.000000,1.000000,0.010184,-0.015375,1.998326,1.998149,1.997815,0.501433,0.500824,0.497481,0.501548,0.500968,0.498344
47.0,1.000000,1.000000,1.000000,0.010220,-0.015385,1.998315,1.998132,1.997766,0.501439,0.500830,0.497509,0.501563,0.500976,0.498368
47.5,1.000000,1.000000,1.000000,0.010256,-0.015395,1.998305,1.998114,1.997716,0.501445,0.500835,0.497537,0.501578,0.500983,0.498390
48.0,1.000000,1.000000,1.000000,0.010292,-0.015404,1.998295,1.998097,1.997665,0.501451,0.500841,0.497564,0.501591,0.500990,0.498408
48.5,1.000000,1.000000,1.000000,0.010328,-0.015413,1.998284,1.998079,1.997614,0.501457,0.500847,0.497590,0.501603,0.500997,0.498423
49.0,1.000000,1.000000,1.000000,0.010363,-0.015422,1.998274,1.998062,1.997562,0.501463,0.500853,0.497616,0.501614,0.501004,0.498435
49.5,1.000000,1.000000,1.000000,0.010399,-0.015430,1.998264,1.998044,1.997510,0.501469,0.500859,0.497640,0.501624,0.501011,0.498446
50.0,1.000000,1.000000,1.000000,0.010435,-0.015438,1.998254,1.998026,1.997457,0.501475,0.500864,0.497665,0.501634,0.501018,0.498455
50.5,1.000000,1.000000,1.000000,0.010471,-0.015445,1.998244,1.998009,1.997404,0.501481,0.500870,0.497688,0.501642,0.501024,0.498463
51.0,1.000000,1.000000,1.000000,0.010507,-0.015452,1.998234,1.997992,1.997350,0.501487,0.500876,0.497712,0.501650,0.501031,0.498470
51.5,1.000000,1.000000,1.000000,0.010543,-0.015459,1.998224,1.997974,1.997297,0.501493,0.500882,0.497734,0.501657,0.501037,0.498476
52.0,1.000000,1.000000,1.000000,0.010579,-0.015466,1.998214,1.997957,1.997242,0.501499,0.500888,0.497757,0.501663,0.501043,0.498482
52.5,1.000000,1.000000,1.000000,0.010615,-0.015472,1.998204,1.997939,1.997188,0.501504,0.500893,0.497779,0.501669,0.501049,0.498488
53.0,1.000000,1.000000,1.000000,0.010651,-0.015478,1.998194,1.997922,1.997133,0.501510,0.500899,0.497800,0.501675,0.501055,0.498494
53.5,1.000000,1.000000,1.000000,0.010687,-0.015484,1.998185,1.997904,1.997078,0.501515,0.500905,0.497822,0.501680,0.501061,0.498499
54.0,1.000000,1.000000,1.000000,0.010722,-0.015489,1.998175,1.997887,1.997023,0.501521,0.500911,0.497843,0.501684,0.501067,0.498506
54.5,1.000000,1.000000,1.000000,0.010758,-0.015495,1.998165,1.997870,1.996968,0.501526,0.500917,0.497864,0.501688,0.501073,0.498512
55.0,1.000000,1.000000,1.000000,0.010794,-0.015500,1.998156,1.997852,1.996912,0.501531,0.500922,0.497884,0.501692,0.501079,0.498519
55.5,1.000000,1.000000,1.000000,0.010830,-0.015505,1.998147,1.997835,1.996857,0.501536,0.500928,0.497904,0.501696,0.501085,0.498527
56.0,1.000000,1.000000,1.000000,0.010866,-0.015510,1.998137,1.997818,1.996801,0.501541,0.500934,0.497925,0.501699,0.501091,0.498535
56.5,1.000000,1.000000,1.000000,0.010902,-0.015514,1.998128,1.997800,1.996745,0.501546,0.500940,0.497945,0.501702,0.501097,0.498544
57.0,1.000000,1.000000,1.000000,0.010938,-0.015518,1.998119,1.997783,1.996690,0.501551,0.500946,0.497965,0.501705,0.501102,0.498553
57.5,1.000000,1.000000,1.000000,0.010974,-0.015522,1.998110,1.997766,1.996634,0.501556,0.500951,0.497984,0.501707,0.501108,0.498563
58.0,1.000000,1.000000,1.000000,0.011010,-0.015526,1.998101,1.997749,1.996578,0.501561,0.500957,0.498004,0.501710,0.501114,0.498573
58.5,1.000000,1.000000,1.000000,0.011046,-0.015530,1.998092,1.997732,1.996522,0.501566,0.500963,0.498023,0.501712,0.501119,0.498585
59.0,1.000000,1.000000,1.000000,0.011082,-0.015534,1.998083,1.997714,1.996466,0.501570,0.500969,0.498043,0.501714,0.501125,0.498596
59.5,1.000000,1.000000,1.000000,0.011117,-0.015537,1.998074,1.997697,1.996410,0.501575,0.500975,0.498062,0.501717,0.501131,0.498609
60.0,1.000000,1.000000,1.000000,0.011153,-0.015541,1.998065,1.997680,1.996354,0.501580,0.500980,0.498082,0.501719,0.501137,0.498622
60.5,1.000000,1.000000,1.000000,0.011189,-0.015544,1.998057,1.997663,1.996298,0.501584,0.500986,0.498101,0.501721,0.501142,0.498635
61.0,1.000000,1.000000,1.000000,0.011225,-0.015547,1.998048,1.997646,1.996242,0.501588,0.500992,0.498121,0.501723,0.501148,0.498653
61.5,1.000000,1.000000,1.000000,0.011261,-0.015550,1.998040,1.997629,1.996186,0.501596,0.500998,0.498142,0.501739,0.501155,0.498675
62.0,1.000000,1.000000,1.000000,0.011297,-0.015553,1.998031,1.997612,1.996129,0.501606,0.501004,0.498163,0.501765,0.501162,0.498698
62.5,1.000000,1.000000,1.000000,0.011333,-0.015555,1.998022,1.997595,1.996073,0.501618,0.501011,0.498184,0.501798,0.501170,0.498722
63.0,1.000000,1.000000,1.000000,0.011369,-0.015558,1.998013,1.997578,1.996016,0.501632,0.501017,0.498206,0.501837,0.501178,0.498746
63.5,1.000000,1.000000,1.000000,0.011405,-0.015561,1.998004,1.997561,1.995960,0.501647,0.501023,0.498227,0.501878,0.501186,0.498769
64.0,1.000000,1.000000,1.000000,0.011441,-0.015563,1.997994,1.997544,1.995903,0.501663,0.501030,0.498248,0.501921,0.501194,0.498791
64.5,1.000000,1.000000,1.000000,0.011477,-0.015565,1.997984,1.997526,1.995847,0.501680,0.501037,0.498268,0.501964,0.501203,0.498811
65.0,1.000000,1.000000,1.000000,0.011513,-0.015567,1.997974,1.997509,1.995790,0.501697,0.501043,0.498288,0.502006,0.501211,0.498829
65.5,1.000000,1.000000,1.000000,0.011548,-0.015569,1.997964,1.997492,1.995734,0.501715,0.501050,0.498308,0.502046,0.501220,0.498844
66.0,1.000000,1.000000,1.000000,0.011584,-0.015571,1.997954,1.997475,1.995677,0.501732,0.501057,0.498327,0.502085,0.501228,0.498858
66.5,1.000000,1.000000,1.000000,0.011620,-0.015573,1.997943,1.997457,1.995621,0.501750,0.501064,0.498345,0.502120,0.501236,0.498871
67.0,1.000000,1.000000,1.000000,0.011656,-0.015575,1.997933,1.997440,1.995565,0.501767,0.501070,0.498363,0.502153,0.501244,0.498881
67.5,1.000000,1.000000,1.000000,0.011692,-0.015577,1.997922,1.997423,1.995510,0.501784,0.501077,0.498380,0.502183,0.501252,0.498890
68.0,1.000000,1.000000,1.000000,0.011728,-0.015579,1.997911,1.997406,1.995454,0.501800,0.501084,0.498397,0.502209,0.501260,0.498897
68.5,1.000000,1.000000,1.000000,0.011764,-0.015580,1.997899,1.997388,1.995399,0.501817,0.501090,0.498413,0.502233,0.501267,0.498903
69.0,1.000000,1.000000,1.000000,0.011800,-0.015582,1.997888,1.997371,1.995344,0.501833,0.501097,0.498429,0.502254,0.501274,0.498909
69.5,1.000000,1.000000,1.000000,0.011836,-0.015583,1.997876,1.997354,1.995289,0.501848,0.501104,0.498444,0.502273,0.501282,0.498913
70.0,1.000000,1.000000,1.000000,0.011872,-0.015585,1.997865,1.997336,1.995235,0.501863,0.501111,0.498459,0.502289,0.501289,0.498917
70.5,1.000000,1.000000,1.000000,0.011908,-0.015586,1.997853,1.997319,1.995181,0.501878,0.501117,0.498474,0.502303,0.501295,0.498921
71.0,1.000000,1.000000,1.000000,0.011943,-0.015587,1.997841,1.997301,1.995128,0.501892,0.501124,0.498488,0.502314,0.501302,0.498924
71.5,1.000000,1.000000,1.000000,0.011979,-0.015589,1.997829,1.997284,1.995075,0.501906,0.501130,0.498502,0.502324,0.501309,0.498927
72.0,1.000000,1.000000,1.000000,0.012015,-0.015590,1.997817,1.997267,1.995022,0.501919,0.501137,0.498515,0.502332,0.501315,0.498931
72.5,1.000000,1.000000,1.000000,0.012051,-0.015591,1.997805,1.997249,1.994970,0.501932,0.501144,0.498529,0.502339,0.501322,0.498934
73.0,1.000000,1.000000,1.000000,0.012087,-0.015592,1.997793,1.997232,1.994918,0.501945,0.501150,0.498542,0.502345,0.501328,0.498938
73.5,1.000000,1.000000,1.000000,0.012123,-0.015593,1.997780,1.997215,1.994867,0.501957,0.501157,0.498555,0.502350,0.501335,0.498943
74.0,1.000000,1.000000,1.000000,0.012159,-0.015594,1.997768,1.997197,1.994816,0.501969,0.501163,0.498568,0.502354,0.501341,0.498948
74.5,1.000000,1.000000,1.000000,0.012195,-0.015595,1.997756,1.997180,1.994765,0.501981,0.501170,0.498581,0.502358,0.501347,0.498953
75.0,1.000000,1.000000,1.000000,0.012231,-0.015596,1.997744,1.997163,1.994715,0.501992,0.501176,0.498593,0.502361,0.501353,0.498959
75.5,1.000000,1.000000,1.000000,0.012267,-0.015597,1.997731,1.997145,1.994666,0.502003,0.501183,0.498606,0.502364,0.501360,0.498966
76.0,1.000000,1.000000,1.000000,0.012303,-0.015598,1.997719,1.997128,1.994616,0.502014,0.501189,0.498619,0.502367,0.501366,0.498973
76.5,1.000000,1.000000,1.000000,0.012338,-0.015599,1.997707,1.997111,1.994568,0.502025,0.501196,0.498631,0.502370,0.501372,0.498981
77.0,1.000000,1.000000,1.000000,0.012374,-0.015600,1.997694,1.997093,1.994519,0.502036,0.501202,0.498644,0.502373,0.501378,0.498989
77.5,1.000000,1.000000,1.000000,0.012410,-0.015600,1.997682,1.997076,1.994471,0.502047,0.501209,0.498657,0.502376,0.501385,0.498998
78.0,1.000000,1.000000,1.000000,0.012446,-0.015601,1.997669,1.997059,1.994424,0.502057,0.501215,0.498669,0.502380,0.501391,0.499008
78.5,1.000000,1.000000,1.000000,0.012482,-0.015602,1.997657,1.997041,1.994377,0.502067,0.501222,0.498682,0.502384,0.501397,0.499019
79.0,1.000000,1.000000,1.000000,0.012518,-0.015602,1.997645,1.997024,1.994330,0.502078,0.501228,0.498695,0.502388,0.501404,0.499030
79.5,1.000000,1.000000,1.000000,0.012554,-0.015603,1.997632,1.997007,1.994283,0.502088,0.501235,0.498708,0.502392,0.501410,0.499041
80.0,1.000000,1.000000,1.000000,0.012590,-0.015604,1.997620,1.996990,1.994237,0.502098,0.501242,0.498720,0.502397,0.501416,0.499054
80.5,1.000000,1.000000,1.000000,0.012626,-0.015604,1.997608,1.996972,1.994192,0.502108,0.501248,0.498733,0.502403,0.501423,0.499067
81.0,1.000000,1.000000,1.000000,0.012662,-0.015605,1.997595,1.996955,1.994146,0.502118,0.501255,0.498747,0.502409,0.501429,0.499080
81.5,1.000000,1.000000,1.000000,0.012697,-0.015605,1.997583,1.996938,1.994101,0.502129,0.501261,0.498760,0.502416,0.501436,0.499094
82.0,1.000000,1.000000,1.000000,0.012733,-0.015606,1.997571,1.996921,1.994057,0.502139,0.501268,0.498773,0.502423,0.501442,0.499108
82.5,1.000000,1.000000,1.000000,0.012769,-0.015606,1.997558,1.996904,1.994012,0.502149,0.501274,0.498786,0.502430,0.501449,0.499123
83.0,1.000000,1.000000,1.000000,0.012805,-0.015607,1.997546,1.996887,1.993968,0.502159,0.501281,0.498800,0.502438,0.501456,0.499138
83.5,1.000000,1.000000,1.000000,0.012841,-0.015607,1.997534,1.996869,1.993924,0.502170,0.501287,0.498813,0.502447,0.501462,0.499153
84.0,1.000000,1.000000,1.000000,0.012877,-0.015608,1.997522,1.996852,1.993881,0.502180,0.501294,0.498827,0.502456,0.501469,0.499169
84.5,1.000000,1.000000,1.000000,0.012913,-0.015608,1.997509,1.996835,1.993838,0.502190,0.501301,0.498841,0.502465,0.501476,0.499185
85.0,1.000000,1.000000,1.000000,0.012949,-0.015608,1.997497,1.996818,1.993795,0.502201,0.501307,0.498854,0.502475,0.501482,0.499201
